file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111128_ufa.kp.ru_5c499e9fd289c38074c0e5d85a8c08df8c0d6891bb39682d27d98ea6	68.79	77.70	61.71	0.00	0.00	0.00	108	31	67	0	4	0
20111128_veved.ru_e6b94e8edabcfb9236cf7032cab266b1b2078c644a54d1a02bf4db8b	55.87	86.05	41.36	0.00	0.00	0.00	438	71	621	0	14	0
20111128_www.048.ua_b6c6487ab616bfdc9d7069a13013f96cfaf0173fbe41985e68b9413f	22.99	83.03	13.34	0.00	0.00	0.00	137	28	890	0	4	0
20111128_www.1news.az_9bd2b46a12104cd121d8cbb677b1708a235a8f0e0c250d961ebbd3f7	31.07	79.25	19.33	0.00	0.00	0.00	126	33	526	0	5	0
20111128_www.1tv.ru_5af4c17fcfdecef58f591577f57941711ffc6b4d16e9eddf99a2c1ad	36.74	80.86	23.77	0.00	0.00	0.00	169	40	542	0	6	0
20111128_www.1tv.ru_ffa20a7466a435c581a121aa817318144e71e83a49aac0307d016bad	55.74	85.90	41.25	0.00	0.00	0.00	396	65	564	0	13	0
20111128_www.54rus.org_d4ca4851d04858822d336639f9f929d2534bb775a234b77e87a46db1	76.58	78.57	74.69	0.00	0.00	0.00	121	33	41	0	7	0
20111128_www.aif.ru_252b43f4faece558ef50829e48585bf4bf29dcc45a9b11e2657f7e73	1.03	3.38	0.61	0.00	0.00	0.00	7	200	1140	0	6	0
20111128_www.aif.ru_8615176c4de88091217e66433b654d812ceb3aa888504cc5c65da372	1.46	4.78	0.86	0.00	0.00	0.00	10	199	1154	0	6	0
20111128_www.aif.ru_e13c5b66cd08c237b420a5a4012f76a6d8a830a19a279a35ee6571b6	1.84	13.64	0.99	0.00	0.00	0.00	12	76	1206	0	3	0
20111128_www.argumenti.ru_3856c6cacc27b32a352e85762bcfbc18a151c60fcfab034c8b6de39c	4.62	6.12	3.70	0.00	0.00	0.00	6	92	156	0	5	0
20111128_www.argumenti.ru_be21cce9cc0c17a4811702603ad0cb82afcbdd32fe0d26093575449e	13.46	34.33	8.37	0.00	0.00	0.00	160	306	1752	0	10	0
20111128_www.argumenti.ru_cdafa92c8e21a65094c97379581e6aa23b675ce928564cbad43a8f6a	1.50	1.97	1.21	0.00	0.00	0.00	3	149	244	0	6	0
20111128_www.argumenti.ru_d2d7845efedd98f5e11c23fb1c7d10bdb66f7b3002b2bcdddf040508	13.45	79.10	7.35	0.00	0.00	0.00	140	37	1765	0	6	0
20111128_www.argumenti.ru_e6cfe32f454066b47a2cc18825563f7d1fce16a3d4f4d496d07f9cb7	14.23	38.12	8.74	0.00	0.00	0.00	170	276	1774	0	13	0
20111128_www.argumenti.ru_f74174bdeb5d196c3a233801519124ca13a961cc3d4cb6f7f30e4c54	1.54	4.27	0.94	0.00	0.00	0.00	5	112	527	0	3	0
20111128_www.ca-news.org_efd1aaa1a79fbba3879315af1ca0a8354a00af3df26ca2323da8e789	2.52	5.65	1.62	0.00	0.00	0.00	13	217	787	0	7	0
20111128_www.eurolab.ua_265d038a62e38e494a1ff402790d8f5d92fbffdada6bbd7c83ee5354	37.70	81.35	24.53	0.00	0.00	0.00	157	36	483	0	7	0
20111128_www.express.gr_5ea35f8d3f8677bfe844c9e4048385563cb9ad1bc53664318a3a6743	77.26	93.17	65.99	0.00	0.00	0.00	491	36	253	0	9	0
20111128_www.from-ua.com_ace40a3654c2a925138e46a10cf05a27ea5cf9fccbb7858ef6405b64	64.56	85.96	51.69	0.00	0.00	0.00	306	50	286	0	9	0
20111128_www.gazeta.ru_6c0acb5d065e76f57a212807e5dc2c1c9fa84ced5d212e2826b68bba	1.09	4.12	0.63	0.00	0.00	0.00	4	93	635	0	2	0
20111128_www.health-ua.org_32f4fc9c9ac1b6310bb65c65e4d053b0159cff2bd4e53e3cf14f3b0a	48.65	67.97	37.89	0.00	0.00	0.00	244	115	400	0	11	0
20111128_www.interfax-russia.ru_d56227e509a79a573b9e30c4342652e1dff21dffef5ee6bc036d73fc	21.86	77.10	12.74	0.00	0.00	0.00	101	30	692	0	4	0
20111128_www.likar.info_33b13a3a8fdf43147153ab6bdc9299502cc39aa92f14d4e01e55dc50	1.28	7.69	0.70	0.00	0.00	0.00	8	96	1138	0	4	0
20111128_www.medicusamicus.com_9e7f4aabccca4d02b620513399601bbb5572b04262ec078f810fd1df	66.72	91.53	52.49	0.00	0.00	0.00	432	40	391	0	5	0
20111128_www.newsland.ru_deca5850da6e13d3afaba5a733ba630dfc85e0446c1024e58f74bdc9	27.61	71.07	17.14	0.00	0.00	0.00	140	57	677	0	6	0
20111128_www.newsmsk.com_d87d5ce9dbefe4d4faec580153f2df6079fa69407804be77d78c7f1f	61.63	83.61	48.80	0.00	0.00	0.00	204	40	214	0	7	0
20111128_www.novopol.ru_8bd7bb61aff1884e017871c981eb9ea01120a132627812a305c8b4b3	0.00	0.00	0.00	0.00	0.00	0.00	0	184	893	0	8	0
20111128_www.pravda.ru_27bffe1b5efb7f55921254f786a83f2d2856be99f278bd9c8bf0896a	31.17	82.35	19.22	0.00	0.00	0.00	238	51	1000	0	8	0
20111128_www.pravda.ru_7ce5bfa2c3730b163a4c77382ede7c3303c2ea0228e0d74a8d7fa52f	32.95	81.76	20.63	0.00	0.00	0.00	260	58	1000	0	10	0
20111128_www.pravda.ru_ca2831b2776caab499f7d4089b80813eeedac9bc1e8920068c8e4972	31.98	81.58	19.89	0.00	0.00	0.00	248	56	999	0	9	0
20111128_www.radiomayak.ru_8ad67e417e7dda07308001996b87066591849749c42006aa649e710f	3.63	13.04	2.11	0.00	0.00	0.00	15	100	696	0	5	0
20111128_www.regnum.ru_2fa9d5942fcceffd25ca1213414b453701bf63d7acaaf43c1501577e	38.99	77.17	26.08	0.00	0.00	0.00	169	50	479	0	5	0
